benchmark,original,ours
ackermann,1464231,1636971
armstrong,133,180
binary-fmt,100,111
bitshift,167,100
bitwise-ops,1690,2341
catalan,659378,866051
check-primes,8468,4461
collatz,169,286
digital-root,247,260
euclid,563,233
fact,229,50
factors,72,118
fitsinside,10,22
fizz-buzz,3652,2757
gcd,46,89
hanoi,99,104
is-decreasing,127,117
lcm,2326,3556
loopfact,116,77
mod_inv,558,276
orders,5352,6404
palindrome,298,329
pascals-row,146,76
perfect,232,362
primes-between,574100,74133
pythagorean_triple,61518,101882
quadratic,785,178
recfact,104,67
rectangles-area-difference,14,29
relative-primes,1923,851
reverse,46,58
sum-bits,73,109
sum-check,5018,7025
sum-divisors,159,187
sum-sq-diff,3038,1525
totient,253,254
up-arrow,252,344